age,age_cat,score_text,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,sex_Male,c_charge_degree_M
49,Greater than 45,Low,13,-1.0,3,0,0,2013-01-31 08:34:57,2013-02-01 01:50:18,False,False,False,False,False,True,False
28,25 - 45,High,18,0.0,9,1,1,2014-09-15 05:14:37,2014-09-15 12:49:46,False,False,False,False,False,True,False
70,Greater than 45,Low,0,-1.0,1,0,0,2013-04-18 08:51:08,2013-04-19 08:09:20,False,False,False,False,True,False,False
22,Less than 25,Low,0,-1.0,4,0,0,2013-01-31 04:40:20,2013-02-02 12:53:20,False,False,False,False,True,False,False
25,25 - 45,Low,0,-1.0,4,1,1,2014-02-08 09:24:33,2014-02-10 03:56:31,False,False,False,False,False,False,True
25,25 - 45,High,3,-1.0,10,1,1,2013-11-09 12:41:34,2014-01-29 02:12:39,False,False,False,False,False,True,True
28,25 - 45,Medium,3,0.0,6,1,1,2013-05-22 02:14:08,2013-05-22 07:31:59,False,True,False,False,False,False,False
25,25 - 45,High,4,-30.0,9,0,0,2013-07-08 05:10:41,2013-07-09 12:58:59,False,True,False,False,False,True,False
26,25 - 45,Low,3,0.0,4,1,1,2014-04-09 03:30:16,2014-04-10 08:41:45,False,False,False,False,False,True,True
31,25 - 45,Low,0,-5.0,3,0,0,2013-05-31 11:07:01,2013-06-01 08:46:14,False,True,False,False,False,False,True
20,Less than 25,Medium,1,3.0,5,1,1,2013-10-19 11:19:26,2013-10-24 05:17:40,False,False,False,False,False,True,False
34,25 - 45,Low,3,-1.0,4,1,1,2013-03-07 08:25:27,2013-03-08 08:30:06,False,True,False,False,False,True,True
23,Less than 25,High,8,0.0,9,1,1,2013-04-27 05:08:36,2014-01-07 06:58:24,False,False,False,False,False,True,False
31,25 - 45,High,4,0.0,8,1,1,2013-11-28 02:42:55,2013-11-30 02:26:32,False,True,False,False,False,True,False
