age,age_cat,score_text,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,sex_Male,c_charge_degree_M
35,25 - 45,Low,0,-1.0,2,1,1,2013-03-22 07:50:40,2013-06-17 10:48:31,False,False,True,False,False,True,False
58,Greater than 45,Low,1,-3.0,2,0,0,2013-06-21 12:44:56,2013-06-21 07:42:46,False,True,False,False,False,False,True
22,Less than 25,Low,0,-1.0,2,0,0,2013-05-06 07:58:25,2013-05-07 07:41:29,False,False,True,False,False,True,True
33,25 - 45,Medium,3,-1.0,6,0,0,2013-01-24 03:35:01,2013-01-25 08:05:03,False,True,False,False,False,True,False
23,Less than 25,Low,1,-1.0,2,0,0,2014-02-12 05:55:24,2014-02-12 09:58:48,False,True,False,False,False,False,True
20,Less than 25,Low,0,0.0,3,0,0,2013-10-28 04:46:03,2013-10-28 01:37:14,False,False,False,False,False,True,False
26,25 - 45,High,0,-1.0,8,0,0,2013-02-06 04:54:37,2013-02-07 09:44:01,False,False,False,False,False,False,True
37,25 - 45,Low,1,-1.0,3,0,0,2014-02-02 08:11:13,2014-02-04 04:08:24,False,False,True,False,False,False,False
27,25 - 45,Low,1,-1.0,4,0,0,2014-01-24 04:31:18,2014-02-01 04:57:27,False,False,False,False,False,True,False
25,25 - 45,Medium,1,-1.0,5,0,0,2013-01-07 07:39:01,2013-09-30 08:47:34,False,False,False,False,True,True,False
29,25 - 45,High,11,-1.0,8,0,0,2013-11-02 11:52:10,2013-11-03 07:25:02,False,False,False,False,False,False,False
21,Less than 25,High,0,-1.0,10,1,1,2013-03-14 07:22:45,2013-03-21 07:20:07,False,False,False,False,False,True,False
49,Greater than 45,Low,1,-26.0,1,0,0,2013-10-05 11:23:30,2013-10-06 08:39:07,False,True,False,False,False,True,True
26,25 - 45,High,10,-1.0,9,1,1,2014-06-25 06:52:09,2014-06-26 09:02:39,False,False,False,False,False,True,False
37,25 - 45,Low,6,-1.0,1,0,0,2013-12-26 04:59:22,2013-12-27 08:15:19,False,False,False,False,True,True,True
29,25 - 45,High,4,0.0,10,1,1,2013-02-07 02:10:43,2014-01-28 06:29:27,False,False,False,False,False,True,False
40,25 - 45,Low,4,-1.0,3,1,1,2013-11-11 01:20:20,2013-12-14 05:53:08,False,True,False,False,False,True,False
51,Greater than 45,Low,0,-1.0,1,0,0,2013-02-16 11:00:54,2013-02-17 07:57:14,False,False,True,False,False,True,True
35,25 - 45,Medium,5,0.0,7,1,0,2013-05-09 02:43:09,2013-05-09 07:43:17,False,False,True,False,False,True,False
43,25 - 45,Low,3,-1.0,4,0,0,2013-08-29 08:55:23,2013-08-30 08:42:13,False,False,False,False,True,True,False
39,25 - 45,Low,4,0.0,4,0,0,2013-10-07 04:26:58,2013-11-16 08:34:09,False,False,False,False,False,True,False
28,25 - 45,Medium,1,-1.0,5,0,0,2013-12-06 10:35:46,2013-12-08 02:23:57,False,False,True,False,False,True,False
33,25 - 45,Low,0,-1.0,1,1,1,2013-01-02 10:07:28,2013-03-27 01:38:36,False,False,False,False,True,True,False
60,Greater than 45,Low,2,-1.0,2,0,0,2013-09-06 10:11:34,2013-09-17 06:28:32,False,True,False,False,False,True,True
23,Less than 25,Low,0,-1.0,4,0,0,2014-02-21 07:57:15,2014-02-22 08:23:54,False,False,False,False,True,False,True
32,25 - 45,Low,1,-11.0,2,0,0,2014-03-21 11:15:52,2014-04-01 10:27:40,False,False,True,False,False,False,True
24,Less than 25,Low,1,0.0,4,0,0,2013-01-21 11:48:52,2013-02-01 08:09:36,False,False,True,False,False,True,False
28,25 - 45,Medium,14,29.0,7,1,1,2014-08-14 01:01:25,2014-09-03 09:23:36,False,False,False,False,False,True,True
60,Greater than 45,Low,1,-18.0,1,0,0,2013-04-19 09:31:28,2013-05-07 10:46:55,False,False,True,False,False,True,False
23,Less than 25,Low,0,-1.0,3,1,1,2014-04-25 10:29:59,2014-04-26 09:57:20,False,False,False,False,False,True,False
55,Greater than 45,Low,1,-17.0,2,0,0,2013-04-28 07:24:17,2013-05-02 08:55:43,False,True,False,False,False,True,True
45,Greater than 45,Low,2,-1.0,1,0,0,2014-02-02 08:57:44,2014-02-10 08:22:26,False,True,False,False,False,True,False
40,25 - 45,Low,3,-1.0,2,0,0,2013-02-15 05:22:50,2013-02-16 07:12:34,False,False,False,False,False,True,False
49,Greater than 45,High,4,-8.0,8,1,0,2013-02-11 01:58:24,2013-02-15 08:53:04,False,True,False,False,False,True,True
25,25 - 45,Low,0,0.0,2,0,0,2013-05-11 01:13:34,2013-05-11 06:35:21,False,True,False,False,False,True,False
25,25 - 45,Low,2,0.0,4,1,1,2014-09-19 06:29:55,2014-09-19 08:58:12,False,True,False,False,False,True,True
32,25 - 45,High,12,-1.0,10,1,1,2013-05-06 08:54:39,2013-05-08 02:59:50,False,False,False,False,False,True,True
23,Less than 25,High,6,0.0,9,1,1,2013-01-28 05:06:16,2013-02-03 02:50:43,False,True,False,False,False,True,False
52,Greater than 45,Low,1,-1.0,1,0,0,2013-10-21 11:28:17,2013-11-15 09:18:28,False,True,False,False,False,True,False
37,25 - 45,Low,1,-9.0,2,0,0,2013-11-05 05:01:02,2013-11-06 01:55:26,False,True,False,False,False,True,True
22,Less than 25,Medium,0,-3.0,5,0,0,2013-06-21 12:31:31,2013-06-21 07:33:13,False,True,False,False,False,True,False
31,25 - 45,Medium,6,-1.0,5,0,0,2013-01-25 03:14:43,2013-01-26 08:15:46,False,True,False,False,False,True,True
48,Greater than 45,Medium,9,-1.0,6,0,0,2013-03-06 04:52:48,2013-03-07 06:01:55,False,True,False,False,False,True,False
38,25 - 45,Low,0,0.0,1,0,0,2013-10-15 03:11:18,2013-10-15 07:48:38,False,False,True,False,False,True,True
50,Greater than 45,Low,8,-1.0,3,0,0,2013-09-15 11:12:24,2014-03-07 03:16:00,False,True,False,False,False,True,False
53,Greater than 45,Low,1,-1.0,1,0,0,2013-02-03 04:59:00,2013-02-04 07:14:28,False,False,True,False,False,True,False
33,25 - 45,Low,0,-1.0,1,0,0,2013-03-11 12:27:40,2013-03-22 09:48:08,False,False,False,False,True,True,True
27,25 - 45,Low,0,-1.0,1,0,0,2013-04-28 08:51:15,2013-04-29 12:45:59,False,False,False,False,False,True,True
30,25 - 45,Low,0,0.0,1,0,0,2014-03-06 02:54:16,2014-03-06 08:15:55,False,False,True,False,False,True,False
20,Less than 25,Medium,1,-20.0,6,0,0,2014-01-16 08:27:08,2014-01-19 02:09:26,False,False,False,False,False,True,False
31,25 - 45,Medium,2,0.0,6,0,0,2013-04-24 02:55:38,2013-08-19 05:41:56,False,True,False,False,False,False,True
69,Greater than 45,Low,2,0.0,1,0,0,2013-02-04 05:06:23,2013-02-04 12:44:20,False,True,False,False,False,False,True
30,25 - 45,Low,0,-1.0,2,0,0,2013-10-23 09:15:21,2013-10-24 09:33:45,False,False,False,False,False,True,False
