ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample,sex,race,age_cat,age,decile_score,score_text,priors_count,two_year_recid,is_recid,c_charge_degree
1,M,BLACK,43-47,16,No,3.0,Standard,At least some college,3 or more,Drug,More than 3 years,6.0,,1.0,3.0,3.0,4,No,No,3 or more,3,No,2,2 or more,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,2,612.0,0.0,0.0,0.0,0.0,0.488562091503268,0.4476102941176471,No,No,No,No,No,1,Male,African-American,25 - 45,45.0,3.0,Low,13.0,0,0,F
2,M,BLACK,33-37,16,No,6.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7.0,,,0.0,3.0,5 or more,Yes,No,3 or more,4 or more,Yes,0,2 or more,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4 or more,0,0,2,35.66666666666666,0.0,0.0,0.0,0.0,0.4252336448598131,2.0,No,Yes,No,No,Yes,1,Male,African-American,25 - 45,35.0,6.0,Medium,10.0,1,1,F
3,M,BLACK,48 or older,24,No,7.0,High,At least some college,3 or more,Drug,1-2 years,6.0,,,2.0,2.0,5 or more,Yes,No,3 or more,2,Yes,1,2 or more,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,4 or more,6,0,0,93.66666666666669,0.3333333432674408,0.0,0.1666666716337204,0.0,0.0,0.0,No,Yes,No,Yes,No,1,Male,African-American,Greater than 45,50.0,7.0,Medium,10.0,1,1,F
4,M,WHITE,38-42,16,No,7.0,High,Less than HS diploma,1,Property,1-2 years,8.0,,0.0,3.0,3.0,3,No,No,3 or more,4 or more,No,3 or more,2 or more,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,6,0,3 or more,25.4,0.0,0.0,0.0,0.0,1.0,0.718996062992126,No,No,No,No,No,1,Male,Caucasian,25 - 45,40.0,7.0,Medium,14.0,0,0,F
5,M,WHITE,33-37,16,No,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,1-2 years,4.0,4.0,,2.0,1.0,3,Yes,No,1,0,Yes,0,1,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,7,0,0,23.11764705882353,0.0,0.0,0.0588235296308994,0.0,0.2035623409669211,0.9293893129770991,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,35.0,4.0,Low,11.0,1,1,F
6,M,WHITE,38-42,17,No,5.0,Standard,High School Diploma,0,Property,More than 3 years,4.0,0.0,1.0,3.0,0.0,0,No,No,1,0,No,2,0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0,0,0,3 or more,474.6,0.0,0.0,0.0,0.0,0.67425200168563,0.3078381795195955,No,No,No,No,No,0,Male,Caucasian,25 - 45,40.0,5.0,Medium,8.0,0,0,F
7,M,BLACK,48 or older,18,No,2.0,Standard,Less than HS diploma,2,,Less than 1 year,,,1.0,,1.0,5 or more,No,Yes,3 or more,1,No,3 or more,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,1,238.5,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,Yes,1,Male,African-American,Greater than 45,50.0,2.0,Low,2.0,1,1,
8,M,BLACK,38-42,16,No,5.0,High,High School Diploma,3 or more,Drug,Greater than 2 to 3 years,6.0,,,1.0,2.0,5 or more,No,No,1,4 or more,Yes,0,2 or more,Yes,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,0,34.775,0.0,0.0,0.0,0.0,0.4694464414090582,0.5251617541337167,No,No,No,No,No,0,Male,African-American,25 - 45,40.0,5.0,Medium,9.0,0,0,F
9,F,BLACK,43-47,5,,7.0,High,High School Diploma,0,Drug,Less than 1 year,,4.0,2.0,,3.0,3,No,No,2,4 or more,No,3 or more,2 or more,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,0.0,0.0,Yes,Yes,Yes,No,No,1,Female,African-American,25 - 45,45.0,7.0,Medium,9.0,1,1,F
10,M,BLACK,43-47,16,No,5.0,Standard,High School Diploma,3 or more,Property,More than 3 years,,,,,2.0,5 or more,Yes,Yes,3 or more,4 or more,Yes,3 or more,2 or more,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,0,0,0,0,27.8,0.0,0.0,0.0,0.0,0.3597122302158273,1.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,45.0,5.0,Medium,2.0,1,1,F
